Title,Link,Author,Level,Date,Duration,Average Rating,No of Users
Building Deep Learning Models Using PyTorch,https://www.pluralsight.com/courses/pytorch-building-deep-learning-models,Janani Ravi,Beginner,Oct 11 2018,3h 18m,4.5/5.0,18
Building Features from Numeric Data,https://www.pluralsight.com/courses/building-features-numeric-data,Janani Ravi,Beginner,Apr 7 2019,2h 25m,No Reviews Yet.,No Reviews Yet.
Building Image Processing Applications Using scikit-image,https://www.pluralsight.com/courses/scikit-image-building-image-processing-applications,Janani Ravi,Beginner,Nov 19 2018,1h 49m,4.0/5.0,
Building Interactive Visualizations Using Bokeh,https://www.pluralsight.com/courses/bokeh-building-interactive-visualizations,Janani Ravi,Beginner,Sep 10 2018,1h 47m,No Reviews Yet.,No Reviews Yet.
Building Machine Learning Models in Python with scikit-learn,https://www.pluralsight.com/courses/python-scikit-learn-building-machine-learning-models,Janani Ravi,Beginner,Apr 29 2018,3h 13m,4.5/5.0,66
Building More Python Design Patterns,https://www.pluralsight.com/courses/python-design-patterns-building-more,Gerald Britton,Intermediate,Apr 9 2017,2h 7m,4.0/5.0,21
Building Pipelines for Workflow Orchestration Using Google Composer,https://www.pluralsight.com/courses/google-cloud-platform-composer-building-pipelines-workflow-orchestration,Vitthal Srinivasan,Intermediate,Jan 14 2019,1h 58m,No Reviews Yet.,No Reviews Yet.
Building Sentiment Analysis Systems in Python,https://www.pluralsight.com/courses/building-sentiment-analysis-systems-python,Vitthal Srinivasan,Intermediate,Jan 3 2017,2h 31m,4.5/5.0,50
Building Statistical Models Using StatsModels,https://www.pluralsight.com/courses/statsmodels-building-statistical-models,Janani Ravi,Beginner,Nov 15 2018,2h 9m,No Reviews Yet.,No Reviews Yet.
Building a Custom Flare Tool in NUKE,https://www.pluralsight.com/courses/building-flare-tool-nuke-2067,Doug Hogan,Intermediate,Apr 23 2015,2h 7m,No Reviews Yet.,No Reviews Yet.
Building a Custom Re/RimLighter Tool with NUKE,https://www.pluralsight.com/courses/building-custom-re-rimlighter-tool-nuke-2174,Doug Hogan,Advanced,Jul 13 2015,1h 56m,No Reviews Yet.,No Reviews Yet.
Building a REST API Using Python and Flask,https://www.pluralsight.com/courses/python-flask-rest-api,Sanjay Rai,Intermediate,Jul 1 2018,1h 57m,3.5/5.0,70
Building and Deploying Keras Models in a Multi-cloud Environment,https://www.pluralsight.com/courses/keras-models-building-deploying-multi-cloud-environment,Janani Ravi,Beginner,Jun 28 2018,2h 56m,4.5/5.0,11
Cisco ACI Programmability,https://www.pluralsight.com/courses/cisco-aci-programmability,Lauren Malhoit,Intermediate,Feb 15 2017,1h 11m,No Reviews Yet.,No Reviews Yet.
Classification Using Tree Based Models,https://www.pluralsight.com/courses/tree-based-models-classification,Swetha Kolalapudi,Beginner,Jan 5 2017,1h 57m,4.5/5.0,61
Cleaning Data: Python Data Playbook,https://www.pluralsight.com/courses/cleaning-data-python-data-playbook,Chris Achard,Beginner,Dec 9 2018,1h 8m,No Reviews Yet.,No Reviews Yet.
Code School: Flying Through Python,https://www.pluralsight.com/courses/code-school-flying-through-python,Sarah Holderness,Beginner,Jan 27 2016,57m,4.5/5.0,29
CoffeeScript Fundamentals,https://www.pluralsight.com/courses/coffeescript-fundamentals,Liam McLennan,Intermediate,Sep 11 2011,1h 59m,4.5/5.0,137
Continuous Delivery Using Docker And Ansible,https://www.pluralsight.com/courses/docker-ansible-continuous-delivery,Justin Menga,Intermediate,May 9 2016,7h 13m,4.5/5.0,119
Core Python: Organizing Larger Programs,https://www.pluralsight.com/courses/core-python-organizing-larger-programs,Robert Smallshire,Intermediate,Mar 7 2019,1h 5m,5.0/5.0,11
Creating Custom User Interfaces in Maya and Qt Designer,https://www.pluralsight.com/courses/custom-user-interfaces-maya-qt-designer-1167,Tim Callaway,Intermediate,Jan 5 2014,1h 33m,No Reviews Yet.,No Reviews Yet.
Creating Geospatial Maps with MapServer and GDAL,https://www.pluralsight.com/courses/map-server-gdal-creating-geospatial-maps,Jon Oxtoby,Beginner,Aug 8 2016,2h 35m,5.0/5.0,13
Database Programming with Pyodbc: Python Playbook,https://www.pluralsight.com/courses/database-programming-pyodbc-python-playbook,Warner Chaves,Intermediate,Apr 3 2019,2h 22m,No Reviews Yet.,No Reviews Yet.
Date and Time Fundamentals,https://www.pluralsight.com/courses/date-time-fundamentals,Matt Johnson,Intermediate,Sep 12 2014,6h 19m,5.0/5.0,207
Debugging and Monitoring TensorFlow Programs,https://www.pluralsight.com/courses/tensorflow-programs-debugging-monitoring,Janani Ravi,Intermediate,Mar 20 2018,2h 17m,No Reviews Yet.,No Reviews Yet.
Deploying Serverless Applications in AWS Using the Serverless Application Model,https://www.pluralsight.com/courses/aws-deploying-serverless-applications-application-model,Mark Hatch,Intermediate,Sep 20 2018,1h 28m,5.0/5.0,22
Deploying TensorFlow Models to AWS  Azure  and the GCP,https://www.pluralsight.com/courses/tensorflow-aws-azure-gcp-deploying-models,Janani Ravi,Intermediate,Apr 29 2018,2h 11m,3.5/5.0,
Design Patterns with Python,https://www.pluralsight.com/courses/python-design-patterns,Gerald Britton,Intermediate,Oct 12 2016,1h 57m,4.0/5.0,88
Designing and Implementing Solutions Using Google Cloud AutoML,https://www.pluralsight.com/courses/google-cloud-automl-designing-implementing-solutions,Janani Ravi,Beginner,Oct 11 2018,1h 41m,No Reviews Yet.,No Reviews Yet.
Designing and Implementing Solutions Using Google Machine Learning APIs,https://www.pluralsight.com/courses/google-machine-learning-apis-designing-implementing-solutions,Janani Ravi,Beginner,Oct 18 2018,1h 37m,4.5/5.0,
Developing GUI-based Tools for Production in NUKE,https://www.pluralsight.com/courses/nuke-developing-gui-based-tools-production-2549,Simon Jokuschies,Intermediate,Sep 12 2016,1h 49m,No Reviews Yet.,No Reviews Yet.
Developing Python Tools in NUKE,https://www.pluralsight.com/courses/developing-python-tools-nuke-2219,Simon Jokuschies,Advanced,Aug 15 2015,2h 38m,No Reviews Yet.,No Reviews Yet.
